OID,AREA,PERIMETER,COUNTY_,COUNTY,CNTYKEY,POPREC,BIGNAME,FIPS,ED_REG,NAME_1,areaname,periodyear,stfips,areatype,area_1,totwageYea,avgwkwageY,Tot_pop,lab_force,ce_jobs,Med__ce_earn,avg_ce_earn,lq,ce_per_w,ce_per_c,ce_jobs_12,civ_employ,creative_e,Tot_pop_12,lab_forc_2,ce_jobs_13,pop_med_ea,avgotherwages,avgworkers,Cewage_avg_dif,counties_c,avg_cewages,avg_ce_wages2,avg_other_wages,ce_per_1000
50,1522800000,221826.906,74,23,13,13,Chippewa,23,6W,Chippewa,Chippewa County,2014,27,4,23,"$197,515,462.00 ",$667.00 ,12235,6611,196,$17.31 ,$17.95 ,0.74,30.8,16,31,6255,1075,12235,6611,196,26916,12.94,33.72959184,$4.06 ,1,$12.94 ,17.95215685,16.675,30.76163394
39,1145100000,169348.562,62,25,14,14,Chisago,25,7E,Chisago,Chisago County,2014,27,4,25,"$514,446,690.00 ",$693.00 ,53798,29193,512,$18.41 ,$19.17 ,0.82,18.7,9.5,19,26510,5625,53798,29193,512,35666,17.15,57.01757813,$0.85 ,1,$17.15 ,19.17281234,17.325,18.65977615
18,2729100000,284155.719,39,27,15,15,Clay,27,4,Clay,Clay County,2014,27,4,27,"$670,443,898.00 ",$698.00 ,60249,34339,755,$17.77 ,$18.30 ,0.97,23.1,12.5,23,31025,6885,60249,34339,755,29233,14.05,45.48211921,$3.95 ,1,$14.05 ,18.30477744,17.45,23.14615007
11,2667100000,257085.172,13,29,16,16,Clearwater,29,2,Clearwater,Clearwater County,2014,27,4,29,"$96,730,832.00 ",$711.00 ,8735,3913,93,$17.65 ,$18.00 ,0.7,26.2,10.6,26,3745,575,8735,3913,93,26604,12.79,42.07526882,$5.21 ,1,$12.79 ,18.00197899,17.775,26.19253311
7,4159200000,413645.219,9,31,17,17,Cook,31,3,Cook,Cook County,2014,27,4,31,"$81,652,947.00 ",$564.00 ,5197,2928,151,$16.58 ,$16.96 ,1.14,53.8,29,54,2745,795,5197,2928,151,25784,12.4,19.39072848,$4.60 ,1,$12.40 ,16.95588128,14.1,53.84940966
71,1680600000,173964.016,96,33,18,18,Cottonwood,33,8,Cottonwood,Cottonwood County,2014,27,4,33,"$159,576,417.00 ",$648.00 ,11676,5781,157,$18.19 ,$18.82 ,0.74,28.6,13.5,29,5680,855,11676,5781,157,26255,12.62,36.82165605,$5.38 ,1,$12.62 ,18.81890844,16.2,28.58503908
22,2993600000,241383.406,45,35,19,19,Crow Wing,35,5,Crow Wing,Crow Wing County,2014,27,4,35,"$995,256,519.00 ",$678.00 ,62900,31227,659,$18.79 ,$19.47 ,0.68,23,10.5,23,28630,6200,62900,31227,659,26689,12.83,47.38543247,$6.17 ,1,$12.83 ,19.47396713,16.95,22.98376983
55,1517400000,187966.438,79,37,20,20,Dakota,37,11,Dakota,Dakota County,2014,27,4,37,$0.00 ,$956.00 ,405521,234096,8364,$20.74 ,$21.66 ,1.12,38,20.6,38,215670,66755,405521,234096,8364,40355,19.4,27.98852224,$1.60 ,1,$19.40 ,21.66303059,23.9,37.99156321
75,1137700000,136206.25,100,39,21,21,Dodge,39,10,Dodge,Dodge County,2014,27,4,39,"$223,275,825.00 ",$763.00 ,20246,11259,232,$18.48 ,$18.84 ,0.67,21.5,11.5,22,10675,1865,20246,11259,232,36205,17.41,48.53017241,$0.59 ,1,$17.41 ,18.84428616,19.075,21.54390583
32,1864800000,175203.188,55,41,22,22,Douglas,41,4,Douglas,Douglas County,2014,27,4,41,"$687,201,227.00 ",$735.00 ,36413,19480,508,$17.54 ,$18.12 ,0.68,27.5,14,28,18320,4275,36413,19480,508,29898,14.37,38.34645669,$3.63 ,1,$14.37 ,18.11697645,18.375,27.52896761
83,1867700000,173899.844,108,43,23,23,Faribault,43,9,Faribault,Faribault County,2014,27,4,43,"$223,254,154.00 ",$879.00 ,14337,7428,154,$17.56 ,$18.43 ,0.79,21.7,10.7,22,7200,1050,14337,7428,154,27692,13.31,48.23376623,$4.69 ,1,$13.31 ,18.43007001,21.975,21.746045
84,2231500000,192978.062,109,45,24,24,Fillmore,45,10,Fillmore,Fillmore County,2014,27,4,45,"$184,717,200.00 ",$591.00 ,20842,10931,247,$17.35 ,$18.08 ,0.8,23.8,11.9,24,10455,1550,20842,10931,247,30444,14.64,44.25506073,$2.36 ,1,$14.64 ,18.08191297,14.775,23.7666154
85,1870100000,174070.891,110,47,25,25,Freeborn,47,10,Freeborn,Freeborn County,2014,27,4,47,"$445,980,589.00 ",$709.00 ,31034,16127,319,$18.60 ,$19.53 ,0.64,20.9,10.3,21,15725,2075,31034,16127,319,27777,13.35,50.55485893,$5.65 ,1,$13.35 ,19.5299782,17.725,20.85660624
60,2019700000,233185.141,84,49,26,26,Goodhue,49,10,Goodhue,Goodhue County,2014,27,4,49,"$914,178,985.00 ",$813.00 ,46336,25138,550,$18.42 ,$19.22 ,0.67,23.3,11.9,23,23975,4460,46336,25138,550,31861,15.32,45.70545455,$2.68 ,1,$15.32 ,19.21511088,20.325,23.30031746
31,1490500000,156088.547,54,51,27,27,Grant,51,4,Grant,Grant County,2014,27,4,51,"$66,112,891.00 ",$658.00 ,5977,3119,79,$16.58 ,$17.11 ,0.67,26.6,13.2,27,2955,530,5977,3119,79,30151,14.5,39.48101266,$2.50 ,1,$14.50 ,17.11274336,16.45,26.64505235
49,1569300000,189684.734,73,53,28,28,Hennepin,53,11,Hennepin,Hennepin County,2014,27,4,53,$0.00 ,"$1,229.00 ",1184091,681820,39399,$24.29 ,$25.48 ,1.32,62.2,33.3,62,614325,215220,1184091,681820,39399,37402,17.98,17.30551537,$6.02 ,1,$17.98 ,25.48412521,30.725,62.1689062
82,1472800000,158107.281,107,55,29,29,Houston,55,10,Houston,Houston County,2014,27,4,55,"$148,432,313.00 ",$578.00 ,18859,10326,311,$18.26 ,$18.75 ,1.68,31.9,16.5,32,10090,1965,18859,10326,311,30726,14.77,33.20257235,$3.23 ,1,$14.77 ,18.75228828,14.45,31.90185813
17,2587600000,214848.797,32,57,30,30,Hubbard,57,2,Hubbard,Hubbard County,2014,27,4,57,"$189,167,903.00 ",$631.00 ,20518,10008,170,$16.73 ,$17.25 ,0.75,17.9,8.3,18,8950,1820,20518,10008,170,25773,12.39,58.87058824,$4.61 ,1,$12.39 ,17.24725675,15.775,17.94275469
38,1169400000,147589.625,61,59,31,31,Isanti,59,7E,Isanti,Isanti County,2014,27,4,59,"$401,637,276.00 ",$708.00 ,38190,20976,639,$17.72 ,$18.33 ,0.93,33,16.7,33,18455,3745,38190,20976,639,31601,15.19,32.82629108,$2.81 ,1,$15.19 ,18.32675228,17.7,33.03972914
13,7577100000,436630.094,27,61,32,32,Itasca,61,3,Itasca,Itasca County,2014,27,4,61,"$612,066,775.00 ",$735.00 ,45303,21507,418,$16.85 ,$17.29 ,0.68,21.1,9.2,21,19770,3735,45303,21507,418,25168,12.1,51.45215311,$4.90 ,1,$12.10 ,17.29445218,18.375,21.1390043
80,1863300000,173880.312,105,63,33,33,Jackson,63,8,Jackson,Jackson County,2014,27,4,63,"$200,505,805.00 ",$669.00 ,10260,5583,133,$16.43 ,$17.06 ,0.59,24.9,13,25,5390,945,10260,5583,133,29249,14.06,41.97744361,$1.94 ,1,$14.06 ,17.0576998,16.725,24.91580422
30,1380400000,165756.969,53,65,34,34,Kanabec,65,7E,Kanabec,Kanabec County,2014,27,4,65,"$129,295,530.00 ",$660.00 ,16084,8089,170,$16.88 ,$17.21 ,0.79,23.7,10.6,24,7490,1125,16084,8089,170,26970,12.97,47.58235294,$4.03 ,1,$12.97 ,17.21262484,16.5,23.68040145
43,2232000000,194165.906,66,67,35,35,Kandiyohi,67,6E,Kandiyohi,Kandiyohi County,2014,27,4,67,"$802,450,808.00 ",$676.00 ,42316,23145,528,$18.33 ,$19.15 ,0.62,24.4,12.5,24,21900,4080,42316,23145,528,27762,13.35,43.83522727,$4.65 ,1,$13.35 ,19.14897829,16.9,24.35236251
1,2861200000,263162.25,3,69,36,36,Kittson,69,1,Kittson,Kittson County,2014,27,4,69,"$52,925,890.00 ",$685.00 ,4501,2243,59,$16.60 ,$17.06 ,0.62,27,13.1,27,2240,295,4501,2243,59,29004,13.94,38.01694915,$3.06 ,1,$13.94 ,17.05778416,17.125,26.9809633
3,8163700000,412808.188,5,71,37,37,Koochiching,71,3,Koochiching,Koochiching County,2014,27,4,71,"$177,266,007.00 ",$715.00 ,13138,6359,90,$16.85 ,$17.29 ,0.54,15.3,6.9,15,5970,880,13138,6359,90,25741,12.38,70.65555556,$4.62 ,1,$12.38 ,17.2888167,17.875,15.28799049
47,2016500000,221394.172,71,73,38,38,Lac Qui Parle,73,6W,Lac qui Parle,Lac qui Parle County,2014,27,4,73,"$75,943,009.00 ",$638.00 ,7096,3613,103,$16.27 ,$16.79 ,0.76,29.8,14.6,30,3640,585,7096,3613,103,28681,13.79,35.0776699,$2.21 ,1,$13.79 ,16.7881373,15.95,29.84986998
10,5927300000,415171.219,12,75,39,39,Lake,75,3,Lake,Lake County,2014,27,4,75,"$178,061,559.00 ",$796.00 ,10791,5121,168,$16.66 ,$16.92 ,0.84,34.7,15.5,35,5340,965,10791,5121,168,30688,14.75,30.48214286,$2.25 ,1,$14.75 ,16.91611257,19.9,34.68600372
0,4595800000,390261.031,2,77,40,40,Lake of the Woods,77,2,Lake of the Woods,Lake of the Woods County,2014,27,4,77,"$45,069,981.00 ",$547.00 ,3976,2064,49,$16.61 ,$17.02 ,0.68,24.8,12.4,25,2045,350,3976,2064,49,26169,12.58,42.12244898,$4.42 ,1,$12.58 ,17.01945527,13.675,24.77049345
63,1226400000,170341.094,88,79,41,41,Le Sueur,79,9,Le Sueur,Le Sueur County,2014,27,4,79,"$345,814,727.00 ",$775.00 ,27717,15400,394,$17.63 ,$18.11 ,0.81,27.2,14.2,27,14560,2680,27717,15400,394,32918,15.83,39.08629442,$2.17 ,1,$15.83 ,18.11218424,19.375,27.23531485
61,1421700000,155964.766,85,81,42,42,Lincoln,81,8,Lincoln,Lincoln County,2014,27,4,81,"$55,106,247.00 ",$623.00 ,5821,3072,62,$17.98 ,$18.50 ,0.59,20.7,10.6,21,3030,480,5821,3072,62,30073,14.46,49.5483871,$3.54 ,1,$14.46 ,18.50020078,15.575,20.73215122
62,1869400000,175844.766,86,83,43,43,Lyon,83,8,Lyon,Lyon County,2014,27,4,83,"$577,042,268.00 ",$744.00 ,25724,14766,312,$17.83 ,$18.56 ,0.59,22.1,12.1,22,14170,2610,25724,14766,312,28309,13.61,47.32692308,$4.39 ,1,$13.61 ,18.55917422,18.6,22.0703945
15,1510400000,155514.922,30,87,45,45,Mahnomen,87,2,Mahnomen,Mahnomen County,2014,27,4,87,"$60,191,766.00 ",$605.00 ,36172,19672,38,$16.07 ,$16.54 ,0.44,2,1.1,2,2260,280,5486,2439,93,25610,12.31,26.22580645,$4.69 ,1,$12.31 ,16.54327219,15.125,2.046561328
5,4698500000,374288.125,7,89,46,46,Marshall,89,1,Marshall,Marshall County,2014,27,4,89,"$92,054,726.00 ",$743.00 ,5486,2439,93,$16.57 ,$16.99 ,0.63,42.3,16.9,42,4795,855,9447,5020,209,31509,15.15,24.01913876,$1.85 ,1,$15.15 ,16.9909916,18.575,42.27452055
81,1888700000,175103.062,106,91,47,47,Martin,91,9,Martin,Martin County,2014,27,4,91,"$317,050,368.00 ",$710.00 ,9447,5020,209,$17.36 ,$18.29 ,0.64,43.7,22.1,44,10315,1915,20515,10875,405,28028,13.48,26.85185185,$3.53 ,1,$13.48 ,18.2900712,17.75,43.73516345
52,1308900000,155386.562,76,85,44,44,McLeod,85,6E,McLeod,McLeod County,2014,27,4,85,"$685,567,008.00 ",$786.00 ,20515,10875,405,$16.94 ,$17.66 ,0.68,39,19.8,39,19050,3970,36172,19672,38,31357,15.08,517.6842105,$0.92 ,1,$15.08 ,17.66327385,19.65,38.995102
46,1670000000,176401.688,70,93,48,48,Meeker,93,6E,Meeker,Meeker County,2014,27,4,93,"$238,272,319.00 ",$653.00 ,23147,12141,328,$16.50 ,$16.97 ,0.83,28.7,14.1,29,11550,1855,23147,12141,328,31155,14.98,37.0152439,$2.02 ,1,$14.98 ,16.97152333,16.325,28.67120721
29,1764400000,210913.578,52,95,49,49,Mille Lacs,95,7E,Mille Lacs,Mille Lacs County,2014,27,4,95,"$298,806,988.00 ",$599.00 ,25891,12834,200,$17.96 ,$18.44 ,0.53,17.1,7.7,17,12145,1890,25891,12834,200,28179,13.55,64.17,$4.45 ,1,$13.55 ,18.44351058,14.975,17.05832269
28,2985400000,285333.812,51,97,50,50,Morrison,97,5,Morrison,Morrison County,2014,27,4,97,"$344,031,415.00 ",$625.00 ,33054,17629,395,$17.99 ,$18.54 ,0.81,24.2,11.9,24,16030,2175,33054,17629,395,29055,13.97,44.63037975,$4.03 ,1,$13.97 ,18.53797233,15.625,24.17967783
86,1841900000,174261.312,111,99,51,51,Mower,99,10,Mower,Mower County,2014,27,4,99,"$694,590,705.00 ",$821.00 ,39312,20391,369,$18.28 ,$19.24 ,0.69,19.3,9.4,19,19185,3225,39312,20391,369,30536,14.68,55.2601626,$3.32 ,1,$14.68 ,19.24397312,20.525,19.33632788
70,1864300000,173866.344,95,101,52,52,Murray,101,8,Murray,Murray County,2014,27,4,101,"$95,747,332.00 ",$622.00 ,8586,4482,113,$16.69 ,$17.31 ,0.66,26.4,13.2,26,4475,750,8586,4482,113,30014,14.43,39.66371681,$2.57 ,1,$14.43 ,17.31339246,15.55,26.40860742
66,1208700000,245281.062,91,103,53,53,Nicollet,103,9,Nicollet,Nicollet County,2014,27,4,103,"$543,504,720.00 ",$740.00 ,32923,19360,531,$18.28 ,$19.18 ,1.04,28.6,16.1,29,18380,4555,32923,19360,531,30566,14.7,36.45951036,$3.30 ,1,$14.70 ,19.17763015,18.5,28.58197286
79,1871600000,174122.641,104,105,54,54,Nobles,105,8,Nobles,Nobles County,2014,27,4,105,"$366,606,213.00 ",$682.00 ,21589,11090,227,$16.91 ,$17.59 ,0.54,22,10.5,22,10735,1235,21589,11090,227,27297,13.12,48.85462555,$3.88 ,1,$13.12 ,17.59244025,17.05,22.0142276
14,2272900000,246291.016,29,107,55,55,Norman,107,1,Norman,Norman County,2014,27,4,107,"$55,473,458.00 ",$634.00 ,6725,3343,78,$17.34 ,$17.81 ,0.84,24.5,11.6,24,3290,460,6725,3343,78,28429,13.67,42.85897436,$3.33 ,1,$13.67 ,17.80866443,15.85,24.48708255
76,1693900000,178262.609,101,109,56,56,Olmsted,109,10,Olmsted,Olmsted County,2014,27,4,109,$0.00 ,"$1,047.00 ",147431,82864,2580,$20.47 ,$21.19 ,0.8,32.6,17.5,33,77300,19415,147431,82864,2580,36887,17.73,32.11782946,$2.27 ,1,$17.73 ,21.18580874,26.175,32.58737637
24,5764000000,310566.281,47,111,57,57,Otter Tail,111,4,Otter Tail,Otter Tail County,2014,27,4,111,"$779,927,265.00 ",$671.00 ,57417,29165,588,$17.61 ,$18.19 ,0.56,21.3,10.2,21,27675,5245,57417,29165,588,29875,14.36,49.60034014,$3.64 ,1,$14.36 ,18.19182951,16.775,21.26404588
9,1602200000,190068.453,11,113,58,58,Pennington,113,1,Pennington,Pennington County,2014,27,4,113,"$419,549,592.00 ",$783.00 ,14041,7807,243,$16.28 ,$16.79 ,0.66,32.3,17.3,32,7470,1610,14041,7807,243,28658,13.78,32.12757202,$2.22 ,1,$13.78 ,16.79018142,19.575,32.31282939
26,3712500000,274004.312,49,115,59,59,Pine,115,7E,Pine,Pine County,2014,27,4,115,"$230,540,130.00 ",$549.00 ,29347,14149,188,$16.84 ,$17.22 ,0.6,14.6,6.4,15,13135,2165,29347,14149,188,24698,11.87,75.2606383,$5.13 ,1,$11.87 ,17.22229455,13.725,14.56823839
69,1208400000,139639.422,94,117,60,60,Pipestone,117,8,Pipestone,Pipestone County,2014,27,4,117,"$139,322,896.00 ",$609.00 ,9407,4914,90,$18.59 ,$19.34 ,0.52,19.2,9.5,19,4785,650,9407,4914,90,27074,13.02,54.6,$5.98 ,1,$13.02 ,19.34136579,15.225,19.15017065
8,5178400000,458850.375,10,119,61,61,Polk,119,1,Polk,Polk County,2014,27,4,119,"$435,761,580.00 ",$684.00 ,31630,16540,286,$18.82 ,$19.45 ,0.63,18.2,9,18,15770,2810,31630,16540,286,29938,14.39,57.83216783,$4.61 ,1,$14.39 ,19.4501209,17.1,18.23673665
37,1857900000,175076.594,60,121,62,62,Pope,121,4,Pope,Pope County,2014,27,4,121,"$161,983,998.00 ",$741.00 ,10946,5686,167,$16.76 ,$17.18 ,0.72,30.9,15.3,31,5650,1085,10946,5686,167,30371,14.6,34.04790419,$2.40 ,1,$14.60 ,17.18449764,18.525,30.89240133
51,440270000,93875.852,75,123,63,63,Ramsey,123,11,Ramsey,Ramsey County,2014,27,4,123,$0.00 ,"$1,114.00 ",521265,283798,13219,$21.43 ,$22.71 ,1.31,50.6,25.4,51,255265,78070,521265,283798,13219,31858,15.32,21.46894621,$5.68 ,1,$15.32 ,22.70614868,27.85,50.57354922
12,1120800000,160748.891,25,125,64,64,Red Lake,125,1,Red Lake,Red Lake County,2014,27,4,125,"$32,128,120.00 ",$599.00 ,4071,2204,14,$18.38 ,$19.00 ,0.33,6.5,3.3,6,2120,465,4071,2204,14,29796,14.33,157.4285714,$3.68 ,1,$14.33 ,18.99805351,14.975,6.475931232
59,2282400000,236114.703,83,127,65,65,Redwood,127,8,Redwood,Redwood County,2014,27,4,127,"$208,730,911.00 ",$625.00 ,15834,8034,154,$17.01 ,$17.79 ,0.66,20.2,9.7,20,7720,1260,15834,8034,154,28793,13.84,52.16883117,$3.16 ,1,$13.84 ,17.78981487,15.625,20.1990691
56,2556300000,264547.219,80,129,66,66,Renville,129,6E,Renville,Renville County,2014,27,4,129,"$215,553,229.00 ",$720.00 ,15326,8035,113,$17.38 ,$18.10 ,0.44,14.9,7.4,15,7890,1170,15326,8035,113,30301,14.57,71.10619469,$2.43 ,1,$14.57 ,18.10197271,18,14.93127152
64,1335700000,154509.5,89,131,67,67,Rice,131,10,Rice,Rice County,2014,27,4,131,"$947,745,491.00 ",$781.00 ,64829,35632,787,$18.58 ,$19.54 ,0.91,23.6,12.1,24,32770,7095,64829,35632,787,25439,12.23,45.27573062,$6.77 ,1,$12.23 ,19.54290548,19.525,23.56160527
78,1251700000,142284.906,103,133,68,68,Rock,133,8,Rock,Rock County,2014,27,4,133,"$120,436,695.00 ",$664.00 ,9587,4907,85,$16.55 ,$17.22 ,0.54,18,8.9,18,4870,685,9587,4907,85,27958,13.44,57.72941176,$3.56 ,1,$13.44 ,17.21638494,16.6,18.04331278
2,4348300000,302758.188,4,135,69,69,Roseau,135,1,Roseau,Roseau County,2014,27,4,135,"$397,014,213.00 ",$856.00 ,15545,8626,185,$17.38 ,$17.82 ,0.49,22.2,11.9,22,8360,1260,15545,8626,185,31768,15.27,46.62702703,$1.73 ,1,$15.27 ,17.81907946,21.4,22.21911394
57,953830000,174510.031,81,139,71,71,Scott,139,11,Scott,Scott County,2014,27,4,139,"$1,950,509,762.00 ",$866.00 ,135129,77066,1625,$20.33 ,$21.23 ,0.98,22.3,12,29,69450,22845,135129,77066,1625,43429,20.88,47.42523077,($0.88),0,$20.88 ,21.22643957,21.65,22.2936844
41,1167200000,163845.062,64,141,72,72,Sherburne,141,7W,Sherburne,Sherburne County,2014,27,4,141,"$1,024,234,872.00 ",$761.00 ,89770,49583,835,$18.42 ,$19.29 ,0.79,17.9,9.3,22,44655,10295,89770,49583,835,36289,17.45,59.38083832,$0.55 ,1,$17.45 ,19.28849092,19.025,17.94687272
58,1554000000,229548.672,82,143,73,73,Sibley,143,9,Sibley,Sibley County,2014,27,4,143,"$145,494,413.00 ",$693.00 ,15096,8325,109,$17.45 ,$18.17 ,0.54,14,7.3,18,7900,1160,15096,8325,109,30983,14.9,76.37614679,$2.10 ,1,$14.90 ,18.16766358,17.325,14.04470815
4,17492000000,679764.688,6,137,70,70,St. Louis,137,3,St Louis,Saint Louis County,2014,27,4,137,$0.00 ,$804.00 ,200563,103194,2732,$17.48 ,$18.34 ,0.95,28.8,13.6,14,94740,20650,200563,103194,2732,26104,12.55,37.77232796,$4.45 ,1,$12.55 ,18.34274251,20.1,28.79455992
36,3598400000,280222.688,59,145,74,74,Stearns,145,7W,Stearns,Stearns County,2014,27,4,145,$0.00 ,$790.00 ,151728,87205,1862,$18.35 ,$19.43 ,0.71,22.8,12.3,23,79870,15515,151728,87205,1862,28114,13.52,46.83404941,$4.48 ,1,$13.52 ,19.43186151,19.75,22.80341395
74,1118400000,135213.578,99,147,75,75,Steele,147,10,Steele,Steele County,2014,27,4,147,"$845,899,403.00 ",$756.00 ,36472,19689,430,$18.05 ,$19.07 ,0.57,23.4,11.8,23,19040,3825,36472,19689,430,33462,16.09,45.78837209,$1.91 ,1,$16.09 ,19.06976999,18.9,23.39436405
35,1490600000,156252.922,58,149,76,76,Stevens,149,4,Stevens,Stevens County,2014,27,4,149,"$219,843,068.00 ",$790.00 ,9748,5379,112,$16.41 ,$17.04 ,0.57,21.8,11.5,22,4905,1085,9748,5379,112,23627,11.36,48.02678571,$4.64 ,1,$11.36 ,17.037524,19.75,21.77286686
42,1949100000,193467.094,65,151,77,77,Swift,151,6W,Swift,Swift County,2014,27,4,151,"$123,506,709.00 ",$678.00 ,9602,5193,78,$15.96 ,$16.61 ,0.59,15.6,8.1,16,4700,755,9602,5193,78,30118,14.48,66.57692308,$1.52 ,1,$14.48 ,16.60749136,16.95,15.61690452
27,2535800000,212622.453,50,153,78,78,Todd,153,5,Todd,Todd County,2014,27,4,153,"$200,312,635.00 ",$642.00 ,24588,12085,178,$17.08 ,$17.58 ,0.52,15.8,7.3,16,11765,1390,24588,12085,178,27561,13.25,67.89325843,$3.75 ,1,$13.25 ,17.58264859,16.05,15.76303004
33,1519100000,179582.359,56,155,79,79,Traverse,155,4,Traverse,Traverse County,2014,27,4,155,"$34,482,225.00 ",$628.00 ,3455,1707,37,$17.21 ,$17.67 ,0.61,22.1,10.6,22,1770,230,3455,1707,37,27425,13.19,46.13513514,$3.81 ,1,$13.19 ,17.6662152,15.7,22.05328116
67,1423000000,176480.672,92,157,80,80,Wabasha,157,10,Wabasha,Wabasha County,2014,27,4,157,"$234,270,233.00 ",$651.00 ,21485,11822,180,$19.73 ,$20.32 ,0.62,16.1,8.4,16,11665,1955,21485,11822,180,32687,15.71,65.67777778,$4.29 ,1,$15.71 ,20.31658611,16.275,16.05520157
21,1406000000,165592.234,44,159,81,81,Wadena,159,5,Wadena,Wadena County,2014,27,4,159,"$203,699,115.00 ",$681.00 ,13754,6122,105,$17.17 ,$17.78 ,0.57,18,7.6,18,5995,925,13754,6122,105,24651,11.85,58.3047619,$5.15 ,1,$11.85 ,17.78014306,17.025,18.04044537
73,1120100000,135246.156,98,161,82,82,Waseca,161,9,Waseca,Waseca County,2014,27,4,161,"$258,149,930.00 ",$733.00 ,19127,9992,160,$17.68 ,$18.54 ,0.53,16.9,8.4,17,9740,1685,19127,9992,160,30072,14.46,62.45,$3.54 ,1,$14.46 ,18.54066929,18.325,16.93560542
48,1095100000,175485.5,72,163,83,83,Washington,163,11,Washington,Washington County,2014,27,4,163,$0.00 ,$810.00 ,244103,135984,3043,$19.59 ,$20.45 ,0.97,23.7,12.5,24,123575,40815,244103,135984,3043,41534,19.97,44.68747946,$0.03 ,1,$19.97 ,20.45318875,20.25,23.71868317
