ORGANIZATION,DISCIPLINE,EXP_BUDGET,ANNUAL_AUD,YOUTH,ADDRESS,ADDRESS_2,CITY,ZIP,COUNTY,STATE
"Keane Sense of Rhythm, Inc.",Performing Arts,"$193,494","3,540","2,130",102 Rose Ave W,,Saint Paul,55117,Ramsey,MN
New Ulm Turnverein/Turner Hall/Murals Preservation Project,History,"$654,235",0,,102 South State Street,,New Ulm,56073,Brown,MN
Pine City Heritage Players,Performing Arts,"$15,124","1,200",300,1020 7th Ave SW,,Pine City,55063,Pine,MN
Twin City Model Railroad Museum,History,"$231,118",0,,"1021 Bandana Boulevard East, Suite 222",,Saint Paul,55108,Ramsey,MN
Boys and Girls Club of RochesterArts Project,Other,"$10,127",213,157,1026 Center St E,,Rochester,55904,Olmsted,MN
Myers Wilkins Community School CollaborativeArts Project,Other,"$35,720",990,265,1027 N 8th Ave E,,Duluth,55805,St. Louis,MN
Rochester Repertory Theatre,Performing Arts,"$115,345","3,221",25,103 7th St NE,,Rochester,55906,Olmsted,MN
City of MontevideoArts Project,Other,"$31,500","8,200","2,200",103 Canton Avenue,PO Box 517,Montevideo,56265,Chippewa,MN
Lanesboro Arts Center,Arts Multipurpose,"$506,614","30,100","1,450",103 Parkway Ave N,,Lanesboro,55949,Fillmore,MN
Live Music at Le Bon in Springfield,Performing Arts,"$3,580",200,50,103 S Hoyt Ave,,Springfield,56087,Brown,MN
The Yes NetworkArts Project,Other,"$13,500",74,50,1030 Fourth Street Southeast,PO Box 1042,Saint Cloud,56304,Stearns,MN
East Central MN Pride Festival,Performing Arts,"$7,324",410,60,1030 Southview Ave,,Braham,55006,Isanti,MN
"Freeborn County Historical Society/Museum, Library and Historical Village",History,"$219,267",0,,1031 Bridge Ave,,Albert Lea,56007,Freeborn,Mn
City of KarlstadArts Project,Other,"$1,850",195,20,"104 1st St S, Ste 100",PO Box 229,Karlstad,56732,Kittson,MN
Mankato TubaChristmas,Performing Arts,"$1,505",375,25,104 2nd St E,,Janesville,56048,Waseca,MN
"Calumet Players, Inc.",Performing Arts,"$31,644","1,100",400,104 E Main St,PO Box 194,Pipestone,56164,Pipestone,MN
Houston County Historical Society,History,"$66,087",0,,104 Historical Lane,,Caledonia,55921,Houston,MN
City of MahnomenArts Project,Other,"$15,649","1,200",300,104 Madison Ave W,,Mahnomen,56557,Mahnomen,MN
"Pipestone Performing Arts Center, Inc.",Performing Arts,"$87,940","13,000","3,000",104 Main St E,,Pipestone,56164-0100,Pipestone,MN
Regents of the U of M (Duluth Campus)History Project,History,"$7,000",0,,1049 University Dr, ,Duluth,55812,St. Louis,MN
"Prairie Lakes Regional Arts Council, Inc.",Other,"$215,131",0,,"105 22nd Avenue NE, Suite A",,Waseca,56093-2612,Waseca,MN
"Central Square, Inc.",Arts Multipurpose,"$140,718","4,350",350,105 2nd Ave NE,,Glenwood,56334-1226,Pope,MN
Lanesboro Historical Preservation Association,History,"$12,247",570,130,105 Parkway S,Po Box 245,Lansboro,55949,Fillmore,MN
"Twin Cities Chinese Dance Center, Inc.",Performing Arts,"$117,755",150,100,1057 Highway 96 West,PO Box 131114,Roseville,55113,Ramsey,MN
City of HinckleyArts Project,Other,"$10,000","3,450",450,106 1st Street SE,PO Box 366,Hinckley,55037,Pine,MN
Mahnomen County Historical Society/MuseumHistory Project,History,"$5,120",0,,106 NE Main Street,PO Box 123,Mahnomen,56556,Mahnomen,MN
Hmong Arts Enrichment Program Committee,Arts Multipurpose,"$15,000",70,50,1060 Earl St,,Saint Paul,55106,Ramsey,MN
"Partnership Resources, Inc.Arts Project",Other,"$15,685",24,12,1069 10th Ave SE,,Minneapolis,55414,Hennepin,MN
"Frederic Chopin Society, Inc.",Performing Arts,"$61,036 ",1502,,107 Pratt Street,PO Box 8131,Minneapolis,55419,Hennepin ,MN
Stevie Rays Theatre Company,Performing Arts,"$333,199",340,40,10700 Cambridge Ct,,Burnsville,55337,Dakota,MN
Twin Cities String Academy,Performing Arts,"$6,950",90,30,10705 40th Ave N,,Plymouth,55441,Hennepin,MN
South Central Minnesota Studio Art Tour,Visual Arts & Architecture,"$12,780","2,650",150,10754 Farrel Ave,,Northfield,55057,Rice,MN
Sherburne County Historical Society,History,"$267,155",0,,10775 27th Avenue SE,,Becker,55308,"Statewide, Sherburne",MN
City of Red Lake FallsArts Project,Other,"$13,835","2,500",500,108 2nd St SW,,Red Lake Falls,56750,Red Lake,MN
Lakeland Public Television/KAWE/KAWB/Northern Minnesota Public Television,Media & Communications,"$2,896,853",0,,108 Grant Avenue NE,,Bemidji,56601,Beltrami,MN
"Art of the Lakes Association, Inc.",Visual Arts & Architecture,"$86,600","2,070",70,108 Lake Ave S,,Battle Lake,56515,Otter Tail,MN
Friends of the Saint Paul Public LibraryArts Project,Literary & Arts,"$16,435",420,30,1080 Montreal Ave,,Saint Paul,55116,Ramsey,MN
City of BlaineArts Project,Arts Multipurpose,"$44,220","2,500","1,000",10801 Town Square Dr,,Blaine,55449,Anoka,MN
Northfield Union of Youth,Visual Arts & Architecture,"$21,766",614,564,109 6th St W,PO Box 481,Northfield,55057,Rice,MN
Marshall Area Fine Arts Council,Arts Multipurpose,"$115,870","5,249","4,964",109 N 3rd St,PO Box 531,Marshall,56258,Lyon,MN
Northwest Minnesota Arts Council,Other,"$214,366","4,000",,109 S Minneosta St,,Warren,56762-1428,Marshall,MN
Truman Historical Association,History,"$11,565",660,160,"109 W Ciro Street, PO Box 56",,Truman,56088,Martin,MN
Forte Fine Arts Academy,Performing Arts,"$77,709",585,335,10970 185th St W,,Lakeville,55044,Dakota,MN
Kensington Area Heritage Society,History,"$8,630",0,,11 Grand Avenue,P.O. Box 54,Kensington,56343,"Douglas, Grant, Pope, Stevens",MN
Eastern Carver County Schools Community EducationArts Project,Other,"$12,580","2,300","1,500",11 Peavey Rd,,Chaska,55318,Carver,MN
"Northern Lights Music Festival, Inc.",Performing Arts,"$353,979","2,830",530,11 S 4th St W,,Aurora,55705,St. Louis,MN
Art Buddies,Arts Multipurpose,"$147,419",350,300,110 5th St N,,Minneapolis,55403,Hennepin,MN
Mankato Area Community EducationArts Project,Other,"$9,229","2,854","1,158",110 Fulton St,,Mankato,56001,Blue Earth,MN
Mankato Area 77 Lancers Marching Band,Performing Arts,"$300,205","375,000","150,000",110 Fulton St,,Mankato,56001-2520,Blue Earth,MN
Merely Players Community Theatre,Performing Arts,"$105,527","5,000","1,000",110 Fulton St,,Mankato,56001,Blue Earth,MN
Saint Cloud Rotary Club’s Summertime by George,Arts Multipurpose,"$172,703 ",123630,,1101 7th Street South,,Saint Cloud,56301,Stearns,MN
North Pioneer Radio/KSRQ FM Northland Community and Tech College/ 90.1 Radio,Media & Communications,"$187,468","3,000",0,1101 Highway One East,,Thief River Falls,56701,Pennington,MN
Iny Asian Dance Theater,Performing Arts,"$118,110","5,213","2,213",1102 Earl St,,Saint Paul,55106,Ramsey,MN
New Rivers Press,Literary & Arts,"$3,500",550,0,1104 7th Ave S,,Moorhead,56563-0001,Clay,MN
Minnesota State UniversityMoorhead/Cheryl Nelson Losset Performing Arts Series,Arts Multipurpose,"$87,000","1,750",250,1104 7th Ave S,,Moorhead,56563-0002,Clay,MN
Minnesota State University Moorhead,Arts Multipurpose,"$124,850","1,900","1,200",1104 7th Ave S,,Moorhead,56560,Clay,MN
Minnesota State UniversityMoorhead/Department of Music Percussion Studio,Performing Arts,"$7,010",232,14,1104 7th Ave S,,Moorhead,56563-0002,Clay,MN
Minnesota State University Moorhead/Music Department,Performing Arts,"$3,000",445,75,1104 7th Ave S,,Moorhead,56563-0002,Clay,MN
Minnesota State University Moorhead/Planetarium,Visual Arts & Architecture,"$8,870","6,000","5,000",1104 7th Ave S,,Moorhead,56563,Clay,MN
East Side Freedom Library,Arts Multipurpose,"$177,689",27,20,1105 Greenbrier St,,Saint Paul,55106,Ramsey,MN
Les Jolies Petites School of Dance,Performing Arts,"$62,521",360,60,1106 Broadway Ave W,,Minneapolis,55411,Hennepin,MN
Absolute Theatre,Performing Arts,"$35,200","1,000",0,1108 6th Ave NW,,Rochester,55901,Olmsted,MN
Sons of Norway Snorre Lodge 70Arts Project,Other,"$15,069",476,56,11094 195th Ave NE,,Thief River Falls,56701,Pennington,MN
Hutchinson Public Arts Commission,Visual Arts & Architecture,"$25,000","7,000","1,000",111 Hassan St SE,,Hutchinson,55350,McLeod,MN
Kaddatz Galleries,Visual Arts & Architecture,"$287,731","1,100",600,111 Lincoln Ave W,,Fergus Falls,56537,Otter Tail,MN
Evansville Arts Coalition,Arts Multipurpose,"$6,240",118,8,111 Main St,,Evansville,56326,Douglas,MN
Badger Area Community Fund,Arts Multipurpose,"$30,000",45,25,111 Main St N,,Badger,56714,Roseau,MN
Bluff Country Artists Gallery,Visual Arts & Architecture,"$4,800",343,78,111 Main St W,,Spring Grove,55974,Houston,MN
Otter Tail County Historical Society/Museum,History,"$835,023","17,487","3,346",1110 West Lincoln Avenue,,Fergus Falls,56537,Otter Tail,MN
Hopkins Center for the Arts,Arts Multipurpose,"$943,530","227,000","77,000",1111 Mainstreet,,Hopkins,55343,Hennepin,MN
"Stages Theatre Company, Inc.",Performing Arts,"$2,454,132","149,300","99,530",1111 Mainstreet,,Hopkins,55343,Hennepin,MN
Friends of the Minnesota Orchestra,Performing Arts,"$214,004","15,000","10,000",1111 Nicollet Mall,,Minneapolis,55403,Hennepin,MN
Minnesota Orchestral Association,Performing Arts,"$33,802,490","295,000","65,000",1111 Nicollet Mall,,Minneapolis,55403-2477,Hennepin,MN
Black Storytellers Alliance,Literary & Arts,"$50,070","2,150","1,650",1112 Newton Ave N,,Minneapolis,55411-3705,Hennepin,MN
Compass Rose Brass Ensemble,Performing Arts,"$4,500",17,0,11124 Quinn Ave S,,Bloomington,55437,Hennepin,MN
Full Moon Puppet Show,Performing Arts,"$16,180",475,25,1113 Thorn St,,Saint Paul,55106,Ramsey,MN
Promise Neighborhood of Central MinnesotaArts Project,Other,"$3,455",65,50,1114 9th Ave SE,PO Box 6082,Saint Cloud,56302,Sherburne,MN
Twin Cities Civil War Roundtable,History,"$26,897",667,0,1114 American Boulevard West,,Bloomington,55420,Hennepin ,MN
Rochester Arts and Culture Collaborative,Visual Arts & Architecture,"$19,800",200,50,1115 Foxcroft Ln SW,,Rochester,55902,Olmsted,MN
ArtReach,Arts Multipurpose,"$34,461","1,391",734,112 Bush St,,Red Wing,55066,Goodhue,MN
Heartland BIG ReadArts Project,Literary & Arts,"$7,875",800,300,112 Kamnic St,,Pierz,56364,Morrison,MN
Pierz Community EducationArts Project,Other,"$11,642",803,250,112 Kamnic St,,Pierz,56364-4000,Morrison,MN
East Central Regional Arts Council,Other,"$246,212",475,75,112 Main Ave S,,Braham,55006,Isanti,MN
"Northern Light Opera Company, Inc.",Performing Arts,"$84,024","2,100",378,112 Park Avenue,PO Box 102,Park Rapids,56470-4638,Hubbard,MN
Fergus Falls Public Arts Commision,Arts Multipurpose,"$42,050","13,250","3,250",112 Washington Ave W,,Fergus Falls,56537,Otter Tail,MN
City of Fergus FallsArts Project,Other,"$10,000","7,500","5,000",112 Washington Ave W,,Fergus Falls,56537,Otter Tail,MN
Cultural Awareness Organization/Worthington International Festival,Arts Multipurpose,"$39,205","3,200",500,1121 3rd Ave,,Worthington,56187,Nobles,MN
Ivey Awards,Performing Arts,"$195,486 ",0,,1128 Harmon Place  #305,,Minneapolis,55403-2004,Hennepin,MN
Alliance Française of the Twin Cities,Humanities,"$740,480",900,0,113 1st St N,,Minneapolis,55401,Hennepin,MN
Pipestone Civil War Days,Arts Multipurpose,"$35,985","3,184",610,113 Hiawatha Ave S,,Pipestone,56164,Pipestone,MN
Pipestone County Historical Society,History,"$243,622",0,,113 S Hiawatha Avenue,,Pipestone,56164,Pipestone,MN
New Ulm Suzuki School of Music,Performing Arts,"$70,972",330,80,113 S State St,PO Box 4,New Ulm,56073,Brown,MN
Saint Charles Community Education/Saint Charles Youth Theatre,Performing Arts,"$3,996",635,289,1136 Richland Ave,,Saint Charles,55972,Winona,MN
Columbia Heights Fine Arts Foundation,Performing Arts,"$5,495",200,25,1137 44 1/2 Ave NE,,Columbia Heights,55421,Anoka,MN
Southwest Minnesota Arts Council,Other,"$299,861",0,,114 N 3rd St,PO Box 55,Marshall,56258-1387,Lyon,MN
Wellcome Manor Family ServicesArts Project,Other,"$2,400",80,30,114 Pleasant St W,,Garden City,56034,Blue Earth,MN
City of GaryArts Project,Other,"$20,000","4,200","1,200",115 1st Ave,,Gary,56545,Norman,MN
Sounds of Spirit Lake,Performing Arts,"$14,280","3,370",300,115 2nd St NE,PO Box 376,Menahga,56464,Wadena,MN
Grant County Historical Society,History,"$44,500","1,407",,115 2nd St. NE,,Elbow Lake,56531,Grant ,MN
Duluth Childrens Museum,Other,"$608,064","32,328","18,231",115 S 29th Ave W,,Duluth,55806,Saint Louis,MN
Pipestone Indian Shrine Association,History,"$191,009",0,,115 Second St. NE,,Pipestone,56164,Pipestone,MN
Minnesota Masonic HomeArts Project,Other,"$12,000",70,20,11501 Masonic Home Dr,,Bloomington,55437,Hennepin,MN
Wilder Pageant,Performing Arts,"$15,000","5,000","2,000",11505 Crown Ave,PO Box 313,Walnut Grove,56180,Redwood,MN
City of Walnut Grove/Laura Ingals Wilder Pageant,Performing Arts,"$107,655 ",0,,11505 Crown Avenue,PO Box 313,Walnut Grove,56180,Redwood,MN
Franciscan Sisters of Little Falls,Performing Arts,"$284,524","3,800",800,116 8th Ave SE,,Little Falls,56345-3539,Morrison,MN
Rhythm of the River,Performing Arts,"$29,495","2,440",240,116 State Street,PO Box 84,Jackson,56143,Jackson,MN
Stevens County Historical Society,History,"$149,667",0,,116 W 6th Street,,Morris,56267,Stevens,MN
"Saint Marys University of Minnesota, Minnesota Conservatory for the Arts",Performing Arts,"$301,289","13,855","7,055",1164 10th St W,,Winona,55987,Winona,MN
High School for Recording Arts,Performing Arts,"$160,086","19,100","3,750",1166 University Ave W,,Saint Paul,55104,Ramsey,MN
Maple Grove Arts Center,Arts Multipurpose,"$138,669","6,500","1,500",11666 Fountains Dr,,Maple Grove,55369,Hennepin,MN
Deborah Elias Danza Espanola,Performing Arts,"$24,586","1,000",25,117 Mackubin St,,Saint Paul,55102,Ramsey,MN
Prairie Dance Alliance,Performing Arts,"$37,800","1,300",400,117 Park Ave,PO Box 83,Marshall,56258,Lyon,MN
Harmonic Relief,Performing Arts,"$18,368",660,60,1175 Gershwin Ave N,,Oakdale,55128,Washington,MN
JOYA! Chamber Music Series,Performing Arts,"$25,433",200,15,1179 Ravenswood St,,Shoreview,55126,Ramsey,MN
City of HanskaHistory Project,History,"$11,375",0,,118 Broadway,PO Box 91,Hanska,56041,Brown,MN
City of PetersonArts Project,Other,"$8,360",500,100,118 Fillmore Street,PO Box 67,Peterson,55962,Fillmore,MN
Wakemup Productions,Arts Multipurpose,"$15,000","2,000","1,000",1184 Mackubin St,,Saint Paul,55117,Hennepin,MN
Minnesota Genealogical Society,History,"$183,908",0,,"1185 Concord Street N, Suite 218",,South St. Paul,55075,Statewide,MN
City of SandstoneArts Project,Other,"$16,000",200,100,119 4th St,,Sandstone,55072-0641,Pine,MN
City of Elbow LakeArts Project,Other,"$7,840",288,88,119 Central Ave,,Elbow Lake,56531-1083,Grant,MN
Dangerous Productions Inc.,Performing Arts,"$31,915",350,50,1194 Seminary Ave,,Saint Paul,55104,Ramsey,MN
Olmsted County Historical Society,History,"$601,294","21,500",40,1195 West Circle Dr. SW,,Rochester,55902,Olmsted,MN
Ananya Dance Theatre,Performing Arts,"$174,901","3,810",70,1197 University Avenue West,PO Box 2427,Minneapolis,55402-0427,Hennepin,MN
City Center PartnershipArts Project/Sculpture Walk,Other,"$89,300","29,000","9,500",12 Civic Center Plz,,Mankato,56001,Blue Earth,MN
"Grand Marais Arts, Inc.",Visual Arts & Architecture,"$370,009","21,715",775,120 3rd Ave W,,Grand Marais,55604-0626,Cook,MN
"Lake Benton Opera House, Inc.",Performing Arts,"$49,026","7,750","2,950",120 Benton St E,,Lake Benton,56149,Lincoln,MN
Mankato Area Arts Council,Visual Arts & Architecture,"$178,428 ",0,,120 S Broad St,,Mankato,56001,Blue Earth,MN
Science Museum of Minnesota,Other,"$38,126,992","801,030","90,000",120 West Kellogg Boulevard,,Saint Paul,55102-1202,Ramsey,MN
Pioneer Public Television/KWCM/West Central MN Educational Television Co. ,Media & Communications,"$2,986,496","1,600",0,120 West Schlieman Ave,,Appleton,56208,Swift,MN
CentraCare Clinic Arts Residency,Performing Arts,"$5,174",36,12,1200 6th Ave N,,Saint Cloud,56303,Stearns,MN
College of Saint ScholasticaArts Project,Other,"$1,611,048","11,520","2,335",1200 Kenwood Ave,,Duluth,55811-4199,St. Louis,MN
Friends of Pine Grove Zoo,Other,"$337,857","36,916",,1200 West Broadway,,Little Falls,56345,Morrison,MN
Cantus,Performing Arts,"$1,208,994","29,948","2,650",1201 Marquette Ave,,Minneapolis,55403,Hennepin,MN
Bavarian Blast,Performing Arts,"$35,550","7,172","1,172",1201 North State Street,PO Box 911,New Ulm,56073,Brown,MN
KUMD University of MN Duluth,Media & Communications,"$190,235","34,536",0,1201 Ordean Court,,Duluth,55812,Saint Louis,MN
Twin Ports Wind Ensemble,Performing Arts,"$17,980",750,50,1201 Ordean Ct,,Duluth,55812,St. Louis,MN
